Ich {{c2::mache}} nur {{c1::Spaß}}	
Aber das ist nur {{c1::Aberglaube}}.	迷信
{{c1::Mehr und mehr}} werden Digital Nomads (DN) {{c2::zum Thema}}.	
Man hatte sich in den vergangenen Wochen fast schon daran {{c1::gewöhnt}}: an den {{c2::Rauch}} in der Luft, an die {{c3::eingeschränkte}} {{c4::Sicht}}, an Passanten mit Atemschutzmasken, an die feine schwarze Ascheschicht im Wohnungsinneren und im Meerwasser.	
Sein {{c1::Vertrag}} wäre noch bis 2019 {{c2::gelaufen}}.	
"Die {{c2::Verträge}} mit Zulieferern, die es {{c3::binnen}} dieser Woche nicht schaffen, Teslas ""Exzellenz-{{c5::Anforderungen}}"" zu {{c4::erfüllen}}, würden am Montag {{c1::gekündigt}}."	
Apple {{c1::stellt}} neues, günstiges iPad {{c1::vor}}.	
Die spanische Flagge {{c1::weht}} auf dem Dach der Nationalbibliothek in Madrid.	
Unternehmen {{c1::verhängen}} einen E-Mail-Stopp an den Wochenenden.	
Den Mitarbeiter vor {{c2::Überarbeitung}} zu {{c1::bewahren}}, das ruft in der Regel auch den Betriebsrat auf den Plan.	
Der DFB {{c2::beweise}} mit den Nationalmannschaften Mut, Innovationskraft und den unbedingten Willen zum Erfolg: „Diese {{c1::Werte}} gelten auch für Volkswagen.“	
Roger Federer ist einfach nicht zu {{c1::stoppen}}.	
Nun gibt es einen deutschsprachigen {{c1::Ableger}}. Die Wissensplattform Quora gibt es nun auch in deutscher Sprache.	
{{c1::Neuzugang}} James Rodriguez (M.) selbst ist mit seiner Nummer elf zufrieden.	
Jeder möchte {{c1::ein Stück}} {{c2::von dem Kuchen}}.	
Seitdem sind Monate {{c1::vergangen}}, {{c2::Gespräche}} hat es gegeben, aber bislang noch kein {{c3::Ausweg}}.	
Liu war Ende 2009 zu elf Jahren {{c2::Haft}} {{c1::verurteilt}} worden.	
Scania ist eine {{c1::Tochtergesellschaft}} von Volkswagen, ebenso wie MAN.	
Wir haben viel zusammen {{c1::erlebt}}. Ich hoffe, dass es ihn auch etwas {{c2::schmerzt}}, dass er mich nicht mehr hat. Nicht nur am Kartentisch.	
Bundeskanzlerin Angela Merkel {{c2::zeigte sich}} {{c1::zuversichtlich}}, dass das bis 2015 zu schaffen ist.	
Sie haben kein {{c1::sauberes}} Trinkwasser, {{c2::leiden an Hunger}}, müssen arbeiten, können nicht {{c3::zur Schule gehen}}.	
Einen Export als ODP {{c1::sieht}} Google Docs zumindest derzeit nicht {{c1::vor}}.	
Jedoch gab es sehr wenig {{c1::Forschung}}, die {{c2::sich}} mit dieser Theorie {{c2::beschäftigt}}.	
Wir benutzten die Scans, um die Dicke von 68 unterschiedlichen Teilen der äußeren Hirnrinde zu messen – diese hat unter Anderem Einfluss auf Bereiche wie {{c1::Bewusstsein::意识}}, {{c2::Wahrnehmung::感知}}, {{c3::Aufmerksamkeit::注意力}}, {{c4::Erinnerung::记忆}} und {{c5::Sprache::语言}}.	
Spotify {{c1::benachteiligt}} nun {{c2::bewusst}} Künstler, die exklusive Deals mit Apple haben.	
{{c1::Losglück}} für Bayern München: Der deutsche Rekordmeister {{c2::trifft}} im Viertelfinale der Champions League {{c3::auf}} den FC Sevilla.	
Die erste Lieferung ist noch {{c1::umsonst}}, danach berechnet Rewe seinen Kunden für jede Lieferung 5,90 Euro, das bleibt auch so.	
In der Fußball-Champions-League {{c1::unterlag}} Bayern München im Halbfinal-{{c2::Hinspiel}} Real Madrid mit 1 zu 2.	Hinspiel 首回合比赛 <> Rückspiel 次回合比赛
Es bleibt {{c1::abzuwarten}}, inwieweit der neue {{c2::Schritt}} die {{c3::Verbreitung}} von Fake News über Facebook eindämmen kann.	
Laut Hersteller soll die {{c1::Akkulaufzeit}} des Trackers etwa fünf Tage {{c2::betragen}}, was ich gut {{c3::bestätigen}} kann.	
Nach dem tödlichen {{c1::Zugunglück}} in Bayern hat die Staatsanwaltschaft Augsburg {{c2::Haftbefehl}} gegen den zuständigen Fahrdienstleiter {{c3::erlassen}}.	
Eine Lebensbalance in den Bereichen {{c1::Leistung}}, {{c2::Gesundheit}}, {{c3::Beziehungen}} und {{c4::Lebenssinn}} macht uns gesund und glücklich.	
{{c2::Knapp}} die {{c1::Hälfte}} (47 Prozent) der Menschen, die selbst motorisiert unterwegs sind, {{c3::regen sich}} am meisten über andere Autofahrer {{c3::auf}}.	
Das Ziel ist immer, möglichst schnell von A nach B zu kommen. Alles, was mich dabei {{c2::aufhält}}, ist ein {{c1::Ärgernis}}.	
{{c2::Klar}} ist es noch nicht, wer mit wem die Regierung {{c1::bilden}} wird.	
In vielen Ländern - {{c3::darunter}} Italien und Spanien - {{c1::schrumpft}} die {{c2::Wirtschaft}} allerdings immer noch.	
Ein ähnliches Bild {{c1::ergab sich}} in Frankreich.	
Wir werden keine {{c2::Mühen}} {{c1::scheuen}}, um dies zu erreichen.	
